,job_name,task_name,inst_num,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type,runtime,runtime_T4,runtime_P100,runtime_V100
0,4ce531bf9736408cad0f8338,ResNet18,2.0,Terminated,3628706.0,3634192.0,600.0,29.296875,100.0,T4,420,420,365,216
1,f559bb43dfd4db48620ddbe3,ResNet50,1.0,Terminated,6051118.0,6053608.0,600.0,29.296875,100.0,P100,510,585,510,302
2,b28f95d624c79541a6f8ef1d,ResNet50,1.0,Terminated,4470443.0,4479908.0,1600.0,31.25,100.0,T4,375,375,326,193
3,54b225f14a2072391188be3c,ResNet18,1.0,Terminated,4673140.0,4693413.0,1800.0,58.59375,100.0,V100,113,219,190,113
4,f09bc0e7d84f4db424cb5954,ResNet50,1.0,Terminated,3831048.0,3836209.0,100.0,29.296875,100.0,P100,433,497,433,256
5,b1142d13b53cb4c767b9747f,ResNet50,2.0,Terminated,3064408.0,3067733.0,100.0,29.296875,100.0,P100,585,671,585,346
6,9605fda900025a2670239683,ResNet50,2.0,Terminated,2896033.0,2904382.0,600.0,29.765625,100.0,V100,103,199,173,103
7,b6eb2bcaae8572b75bae2896,ResNet50,2.0,Terminated,3052487.0,3055528.0,1600.0,29.296875,100.0,P100,426,489,426,252
8,8d0c2e01a8ba4c71d0af10e1,ResNet18,2.0,Terminated,4780238.0,4781689.0,100.0,9.765625,100.0,T4,306,306,266,157
9,7c8ad5e24fb173f9377936bb,ResNet18,2.0,Terminated,4190629.0,4193390.0,1800.0,58.59375,100.0,V100,551,1067,930,551
10,4b3834f39e4e6b621f3fdc14,ResNet50,1.0,Terminated,4563186.0,4566206.0,1200.0,29.296875,100.0,P100,410,470,410,242
11,fa14ccfee608eee39d5aeac6,ResNet50,1.0,Terminated,4763085.0,4765229.0,1600.0,29.296875,100.0,V100,429,831,724,429
12,29a0f105255bae76d3a86565,ResNet50,1.0,Terminated,6280612.0,6282044.0,600.0,29.296875,100.0,T4,242,242,210,124
13,c36e499757aeefed332790ee,ResNet18,2.0,Terminated,3575640.0,3583720.0,1800.0,58.59375,100.0,P100,482,553,482,285
14,6e4019a10ed2806d668f7e6a,ResNet50,1.0,Terminated,5993348.0,6007657.0,600.0,29.296875,100.0,V100,287,556,484,287
15,f24274a82e8a56b85e1de2be,ResNet50,2.0,Terminated,2943925.0,2954238.0,1600.0,58.59375,100.0,V100,507,982,855,507
16,d13094c9d0ec661e51a75928,ResNet50,1.0,Terminated,1568633.0,1572452.0,600.0,29.296875,100.0,P100,157,180,157,93
17,192648814d3a359b371ce337,ResNet50,2.0,Terminated,3459226.0,3462602.0,1600.0,58.59375,100.0,V100,540,1046,911,540
18,ac758d3b063724d3646e9c1e,ResNet50,1.0,Terminated,2524226.0,2529805.0,1800.0,58.59375,100.0,V100,334,647,563,334
19,db2a9a456f3090fdd20e57f2,ResNet50,2.0,Terminated,2800696.0,2806563.0,1600.0,29.296875,100.0,P100,236,270,236,139
