,job_name,task_name,inst_num,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type,runtime,runtime_T4,runtime_P100,runtime_V100
0,2c3f875fac9a0e430a443e87,ResNet18,1.0,Terminated,1275228.0,1276344.0,600.0,29.296875,100.0,T4,111,111,96,57
1,f8f772bfb1370af179903c10,ResNet50,1.0,Terminated,4380077.0,4381389.0,600.0,29.296875,100.0,T4,167,167,145,86
2,05296e835746ca7f08393b6b,ResNet18,2.0,Terminated,1602641.0,1771939.0,1600.0,9.765625,100.0,V100,102,197,172,102
3,89d6731a3eaea39dd86d2089,ResNet18,2.0,Terminated,2657726.0,2662735.0,1500.0,48.84765625,100.0,P100,101,115,101,59
4,08dbb6c4d26f49d9ab66e6e4,ResNet18,2.0,Terminated,3669485.0,3670691.0,1800.0,58.59375,100.0,P100,154,176,154,91
5,9ae8316162136b924c43333a,ResNet18,1.0,Terminated,4821567.0,4826797.0,100.0,29.296875,100.0,T4,168,168,146,86
6,99ecc5ac0912b3ca6f9e4b77,ResNet18,2.0,Terminated,3699139.0,3709377.0,1800.0,58.59375,100.0,P100,151,173,151,89
7,97e3769e6d0a2614581ef008,ResNet18,1.0,Terminated,4880704.0,4895067.0,600.0,29.296875,100.0,T4,100,100,87,51
8,db8934fccee3893894b57a02,ResNet50,1.0,Terminated,2000904.0,2010658.0,1800.0,58.59375,100.0,P100,161,184,161,95
9,cea00b20a787640c7cfd83a1,ResNet50,2.0,Terminated,1730068.0,1731113.0,1600.0,58.59375,100.0,V100,151,292,254,151
